i_episode,total_reward,score,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
45,-221.083241822,-2.63194335502,5.0399999999999805,-17.3661417343,-9.82831164141,0.0,0.597113454976,2.38149196592,0.0,-4.11847599233,-8.76726879027,-40.4868756901,0.0122345505698,-28.6306228724,0.0,899.322283477,100.483053229,899.609680506,899.649562692
46,-214.766340344,-2.58754626921,4.979999999999982,-16.6282287113,-2.83123113365,0.0,5.92196116298,4.02141173864,0.0,-5.03257225287,-5.74620496107,-48.4838465342,-0.0469308655894,-28.6646226265,0.0,899.989246489,100.203278641,900.203279011,900.204146691
47,-214.460929658,-2.58386662238,4.979999999999982,-16.5620582769,-2.03418483388,0.0,6.12922446982,4.04053216738,0.0,-5.23251047514,-1.13183455603,-46.5102483629,-0.246534645637,-28.6382573326,0.0,899.418657742,100.112058324,900.059602943,899.89356205
48,-190.121143777,-2.53494858369,4.499999999999992,-13.8816978724,-25.0117142213,0.0,5.41529494549,5.21320879613,0.0,-4.64405320841,-63.5693939055,-110.815849177,-0.0686362103716,-28.6629047932,0.0,900.248880263,99.8786912774,899.666741453,900.122422215
49,-190.381083529,-2.53841444706,4.499999999999992,-13.8996639859,-22.7972772171,0.0,5.32256958584,5.22117873855,0.0,-4.63238402345,-57.4618066086,-108.922643417,-0.342156112942,-28.6528960606,0.0,899.869792674,100.304471652,900.275710594,899.21143204
50,-218.372161704,-2.59966859171,5.0399999999999805,-15.7411097603,-11.9920336636,3.16866625174,0.521876404797,2.28254801311,0.0,-3.58464650961,-9.40068973313,-38.8827945315,-0.221063233506,-28.6543347833,0.0,900.281495465,100.552218673,899.791792601,900.191948885
51,-214.399997682,-2.58313250219,4.979999999999982,-16.4557046309,-1.11848505668,0.0,0.0148018810696,4.00886496623,0.0,-5.19344427366,-1.10002080802,-46.8364270213,0.204628369184,-28.678986444,0.0,900.70127783,100.039021896,900.760948318,899.88225492
52,-210.72281201,-2.56979039036,4.919999999999983,-15.6281056779,-7.53954206209,0.0,5.72353835479,5.75193480522,0.0,-5.03125510742,-14.9030926997,-54.0500029129,-0.23009172343,-28.6604917648,0.0,900.081570421,99.9035965462,900.384538437,900.512317906
53,-215.330566036,-2.59434416911,4.979999999999982,-16.9695039029,-3.08479844298,0.0,0.745311822071,4.06180800553,0.0,-4.82786199462,-6.62602247047,-42.4463476943,0.514145418468,-28.6632021687,0.0,900.222370928,100.338490298,900.649848147,901.378266466
54,-214.470825202,-2.58398584581,4.979999999999982,-16.5703811306,-2.11520865651,0.0,0.017063914242,4.0571418291,0.0,-5.31742503013,-1.64092225612,-47.0560364675,0.133567181608,-28.6568428741,0.0,900.059521003,99.7857604845,900.335968859,900.188408106
55,-213.695679278,-2.57464673829,4.979999999999982,-15.9173525282,-3.34257112855,0.0,0.404427038856,3.99651341849,0.0,-4.78329123469,-4.63370934601,-44.914078443,0.0305361535724,-28.6706278969,0.0,900.406959897,99.7400238234,899.907876095,899.969719206
56,-219.545421712,-2.61363597276,5.0399999999999805,-16.6133396239,-7.02515152824,0.0,0.336159191657,2.28018555337,0.0,-4.15228645605,-5.72432266407,-42.531748386,-0.232574182652,-28.6649143356,0.0,900.811109054,100.159543047,900.308825208,899.84686644
57,-181.525607467,-2.5211889926,4.319999999999996,-13.1928207015,-18.4608926794,0.0,4.94778116036,4.10473962642,0.0,-3.14830515808,-44.0292028153,-154.826849711,-0.308622601211,-28.6563026617,0.0,899.92176952,100.036188256,899.597645867,900.009135068
58,-218.954895232,-2.60660589562,5.0399999999999805,-15.5295897719,-17.3464299874,15.9344073741,1.36230537063,2.30317292162,0.0,-2.69499167686,-12.5450604895,-26.7402147715,0.202549659963,-28.6457850675,0.0,899.635143993,99.5126020978,899.955267772,899.700979164
59,-213.200756836,-2.56868381731,4.979999999999982,-15.8814870482,-0.84516397744,0.0,6.23323704147,3.99594886713,0.0,-5.01439407653,-0.951666941279,-46.6514127011,0.221903318675,-28.6852370116,0.0,900.866066856,99.9839881418,899.544077846,899.924809393
60,-214.846173332,-2.58850811243,4.979999999999982,-16.6881888438,-1.26878875721,0.0,5.89003314133,4.07085287024,0.0,-5.1436875739,-3.76082848293,-47.8295203261,-0.226940635559,-28.6435578084,0.0,899.739333618,100.500129226,900.182780918,900.301622255
61,-219.622525737,-2.61455387783,5.0399999999999805,-16.4533426132,-8.91562477753,0.0,0.457135741355,2.30446997204,0.0,-4.09083979639,-6.21953953091,-42.4612002477,0.0568224124941,-28.6457413811,0.0,900.070110655,99.9836972602,899.96393538,900.100907298
62,-213.8776007,-2.57683856265,4.979999999999982,-16.0582630128,-2.24196960339,0.0,0.271895451289,4.01768445789,0.0,-4.98518395967,-2.8283708445,-45.9128134489,0.0377716099519,-28.6646923016,0.0,900.066172702,99.4844604042,899.850856368,900.028446287
63,-218.989560219,-2.60701857404,5.0399999999999805,-16.4710505283,-6.52975444287,0.0,0.269372110628,2.31836301709,0.0,-4.23589995658,-4.62094587767,-43.0923108613,-0.140766204099,-28.6477299618,0.0,900.014215474,100.275164779,899.874298952,899.741370523
64,-187.482996802,-2.53355401084,4.439999999999993,-13.605097569,-19.3522168816,0.0,5.12397000816,0.638749568427,0.0,-4.38146259875,-46.7332356583,-123.673702834,-0.280275599706,-28.663496384,0.0,900.119993342,99.7169709058,899.668019392,899.588979911
65,-185.916539267,-2.51238566577,4.439999999999993,-12.7848603644,-18.033012767,0.0,5.04532537136,0.586671479092,0.0,-4.23068070915,-41.81400216,-125.534573644,-0.359090697347,-28.6670881326,0.0,900.224290087,99.8600028244,899.719905438,899.44932522
66,-219.856390478,-2.61733798188,5.0399999999999805,-16.7177316346,-8.75245131784,0.0,0.566379585704,2.34191177876,0.0,-4.08684955039,-7.25958870374,-41.9294196238,0.185955345281,-28.6528167428,0.0,900.054185201,99.9150202173,899.785514759,900.223200552
67,-177.582781166,-2.50116593192,4.259999999999997,-12.4734564302,-17.1040273176,0.0,4.79649849471,5.80669472244,0.0,-4.48174387434,-32.7776269739,-170.110468163,-0.537925174975,-28.633308644,0.0,899.5316678,99.9686167345,900.05541187,899.650893253
68,-217.910053437,-2.59416730282,5.0399999999999805,-15.408711305,-11.7468364166,3.08303765606,0.923901755548,2.25652346929,0.0,-3.2592264946,-11.4549193568,-36.7297232191,0.157356815275,-28.6456728193,0.0,899.808058342,100.159975874,900.164084552,900.23012296
69,-210.431509791,-2.56623792428,4.919999999999983,-15.5181054701,-7.68705140608,0.0,5.8297648232,5.73490424849,0.0,-4.9162658611,-14.2347560949,-53.3223757164,0.0400117957539,-28.6553529188,0.0,899.914849281,99.8243062079,899.372676555,900.164040434
70,-213.380500745,-2.57084940656,4.979999999999982,-15.9023618349,-2.27718956832,0.0,0.460788085285,3.98427501807,0.0,-4.74621896133,-4.12444668864,-44.9588974742,0.231717704934,-28.6672269557,0.0,900.406644378,99.4313377141,900.362265167,899.808780081
71,-218.61134735,-2.60251603988,5.0399999999999805,-15.9845029108,-9.61670269357,0.4114850812,0.810399155967,2.29497850209,0.0,-3.60215441978,-9.74802747407,-39.4397087304,0.277420292227,-28.6468565024,0.0,899.929289063,100.308027152,900.125570192,900.25199398
72,-218.755766677,-2.60423531758,5.0399999999999805,-15.0294165593,-11.8473982635,27.2727189056,1.76195681226,2.27246909005,0.0,-2.38756097417,-5.07066728881,-20.8828989387,0.0175314057975,-28.6563531023,0.0,899.954219138,100.104930455,900.428154431,899.443338008
73,-214.552496128,-2.58496983287,4.979999999999982,-16.6631845322,-0.731989996793,0.0,0.315350712563,4.04282875296,0.0,-5.18515910102,-1.96347210844,-46.1224307961,0.175103403656,-28.6588530578,0.0,899.983176998,100.320138773,899.871581105,900.010949448
74,-200.597700906,-2.53921140388,4.739999999999987,-14.0152955366,-17.1763174616,0.0,5.7247872334,4.56087378662,0.0,-4.72616735385,-32.6686390532,-64.104121228,-0.0185872193149,-28.6544758234,0.0,899.863384726,100.042137308,900.093445211,900.048361248
75,-211.329492277,-2.5771889302,4.919999999999983,-16.0489399428,-3.82847264293,0.0,6.06035665327,5.75345772417,0.0,-5.05329275802,-4.49287553978,-47.9774438967,0.017829495538,-28.6402011216,0.0,899.506933551,99.5299697096,900.10391798,899.963353279
76,-213.279161182,-2.56962844798,4.979999999999982,-15.7260314004,-1.233440653,0.0,6.16441487593,4.04339852779,0.0,-5.03889693993,-1.67244652558,-46.8881203011,0.0728863219598,-28.6583260992,0.0,900.202023312,100.159263241,900.025602889,899.491751557
77,-187.666356421,-2.53603184353,4.439999999999993,-13.7198832575,-16.098897673,0.0,4.83356602404,0.656592851776,0.0,-4.36033959307,-30.4622166874,-129.444531647,-0.67674539503,-28.6698626326,0.0,900.415831969,99.9571764169,900.036866698,899.899675401
78,-219.214502566,-2.60969645912,5.0399999999999805,-16.5763349987,-6.87074140112,0.0,0.638838894381,2.35416428924,0.0,-4.05942754126,-6.78565943767,-42.3037506059,0.394339193549,-28.6416225322,0.0,899.835910089,100.085645653,898.877736294,900.154531754
79,-205.215055734,-2.56518819667,4.799999999999986,-15.4381942005,-14.629926066,0.0,5.59744313443,2.92149135482,0.0,-3.49079640511,-30.8995921635,-65.3301118054,-0.236681575087,-28.665608013,0.0,900.397616547,100.281623984,899.828142281,899.378890421
80,-204.784565551,-2.55980706939,4.799999999999986,-15.0127974774,-10.1296093994,0.0,5.15777030526,2.90643621166,0.0,-2.77998610023,-27.0979380922,-80.3030492268,-0.646689593939,-28.6343452189,0.0,899.456101509,100.354505129,900.3137792,900.492352074
81,-210.815122893,-2.57091613284,4.919999999999983,-15.65515896,-4.85583632616,0.0,5.85661323868,5.71393467101,0.0,-5.04780497811,-7.34960759023,-49.1776466802,-0.300815501326,-28.6513297464,0.0,899.818396463,99.7537746915,899.710625597,899.748747622
82,-214.39584922,-2.58308252072,4.979999999999982,-16.493373928,-4.54981140185,0.0,5.77342717136,4.0324308705,0.0,-4.83538373625,-7.47007642367,-48.8917674483,-0.37517679945,-28.6709591631,0.0,900.508820166,100.068080155,900.14538263,900.232350032
83,-219.365921976,-2.61149907114,5.0399999999999805,-16.1135167429,-13.0354663304,5.06457860824,1.02586405793,2.32825044962,0.0,-3.26660497481,-12.4084693108,-34.4085918956,0.247343856298,-28.6391531033,0.0,899.48889954,99.6920886207,899.756495396,900.465507172
84,-218.323259419,-2.59908642166,5.0399999999999805,-15.9727341051,-7.97149459744,0.0,0.32849896538,2.27038608935,0.0,-4.01144055227,-5.4631151074,-42.6218218995,-0.186186155923,-28.6630671049,0.0,900.617211521,100.57554238,900.134943683,899.415461453
85,-201.418318436,-2.54959896754,4.739999999999987,-14.5363257307,-17.7487196607,0.0,5.64963389715,4.60135121663,0.0,-4.75003650579,-34.7469009608,-66.6594465469,-0.174620495593,-28.6624127479,0.0,900.174778957,99.4888602023,900.107049043,899.959044609
86,-198.562366342,-2.54567136336,4.679999999999988,-14.4171773119,-13.8184598462,0.0,5.21578609812,0.0529689303191,0.0,-4.98407190201,-34.3710846011,-87.600565196,-0.488838416197,-28.6371059127,0.0,899.281350799,99.7199000097,900.243823368,900.28653464
87,-218.832850456,-2.60515298162,5.0399999999999805,-15.9895662837,-13.4584669673,3.96306553703,0.962811959913,2.30387762514,0.0,-3.36945683075,-11.8876604433,-36.4527142789,0.269858676349,-28.6525442207,0.0,900.143055319,99.8112617669,899.715989607,899.630910195
88,-213.518308123,-2.57250973642,4.979999999999982,-15.9708612364,-1.11247943093,0.0,5.89036807911,3.97642501396,0.0,-4.8135885287,-3.28876143076,-47.3895863666,-0.339074788012,-28.6743423711,0.0,900.593630462,100.024444819,900.358767529,899.853014722
89,-211.672713499,-2.58137455486,4.919999999999983,-16.215875927,-3.86644042198,0.0,6.11943750264,5.73057477345,0.0,-5.07956780247,-4.46752939784,-48.1215837231,0.0916812239165,-28.6519770742,0.0,899.973699271,100.035635209,900.089911332,900.20571395
90,-215.509341778,-2.59649809371,4.979999999999982,-17.0772749328,-4.80796131606,0.0,0.428035846068,4.08135014441,0.0,-5.15665611608,-5.70443752502,-44.6133685535,-0.00614129542458,-28.6459956326,0.0,899.790994018,100.00929084,899.991723846,899.788497096
91,-220.215009427,-2.62160725509,5.0399999999999805,-16.9582555206,-9.45168157628,0.0,0.854873144442,2.33971887391,0.0,-3.79711425393,-10.1199777662,-39.0288154017,0.332730521564,-28.6405934874,0.0,899.59677102,99.8668809425,900.189772463,900.965565714
